country_id,name
176,Spain
17,Albania
18,Algeria
19,Andorra
20,Angola
21,Antigua & Barbuda
22,Argentina
23,Armenia
229,Aruba
24,Australia
25,Austria
26,Azerbaijan
28,Bahrain
29,Bangladesh
30,Barbados
31,Belarus
32,Belgium
34,Benin
230,Bermuda
35,Bhutan
36,Bolivia
37,Bosnia and Herzegovina
38,Botswana
39,Brazil
41,Bulgaria
42,Burkina Faso
44,Burundi
45,Cambodia
46,Cameroon
47,Canada
48,Cape Verde
50,Chad
51,Chile
52,China
53,Colombia
198,England
77,France
81,Germany
98,Italy
181,Sweden
191,Turkey
